ID,Galaxy,[Fe/H],e_[Fe/H],logeps(Mg),e_tot(Mg),sigma_Mg,[Mg/H],[Mg/Fe],logeps(Sc),e_tot(Sc),sigma_Sc,[Sc/H],[Sc/Fe],logeps(Ti),e_tot(Ti),sigma_Ti,[Ti/H],[Ti/Fe],logeps(Cr),e_tot(Cr),sigma_Cr,[Cr/H],[Cr/Fe],logeps(Mn),e_tot(Mn),sigma_Mn,[Mn/H],[Mn/Fe],logeps(Ni),e_tot(Ni),sigma_Ni,[Ni/H],[Ni/Fe],logeps(Zn),e_tot(Zn),sigma_Zn,[Zn/H],[Zn/Fe],logeps(Sr),e_tot(Sr),sigma_Sr,[Sr/H],[Sr/Fe],logeps(Y),e_tot(Y),sigma_Y,[Y/H],[Y/Fe],logeps(Ba),e_tot(Ba),sigma_Ba,[Ba/H],[Ba/Fe],logeps(Eu),e_tot(Eu),e_temp(Eu),e_logg(Eu),e_[Fe/H](Eu),e_v(Eu),e_stat(Eu),e_noise(Eu),sigma_Eu,[Eu/H],[Eu/Fe],sigma_Fe
2MASS J02384113-3444205,For,-0.71,0.05,6.63,0.07,0.07,-0.9699999999999998,-0.2599999999999998,1.83,0.25,0.25,-1.3199999999999998,-0.6099999999999999,4.02,0.19,0.19,-0.9300000000000006,-0.22000000000000064,4.83,0.1,0.1,-0.8099999999999996,-0.09999999999999964,4.22,0.15,0.15,-1.21,-0.5,5.15,0.28,0.28,-1.0699999999999994,-0.35999999999999943,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.22,0.24,0.24,-0.99,-0.28,1.25,0.26,0.26,-0.9300000000000002,-0.2200000000000002,0.09,0.13,0.01,0.12,0.03,0.02,0.0,0.01,0.13,-0.43000000000000005,0.2799999999999999,0.05
2MASS J02401677-3429346,For,-0.71,0.07,6.53,0.12,0.12,-1.0699999999999994,-0.35999999999999943,1.65,0.3,0.3,-1.5,-0.79,4.0,0.21,0.21,-0.9500000000000002,-0.2400000000000002,4.84,0.22,0.22,-0.7999999999999998,-0.08999999999999986,4.07,0.16,0.16,-1.3599999999999994,-0.6499999999999995,5.25,0.39,0.39,-0.9699999999999998,-0.2599999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.24,0.24,0.24,-0.97,-0.26,1.21,0.31,0.31,-0.9700000000000002,-0.26000000000000023,0.4,0.14,0.01,0.13,0.04,0.02,0.0,0.01,0.14,-0.12,0.59,0.07
[LDH2014] Fnx-mem0715,For,-0.7,0.13,6.57,0.16,0.16,-1.0299999999999994,-0.3299999999999994,1.7,0.18,0.18,-1.45,-0.75,4.41,0.1,0.1,-0.54,0.15999999999999992,5.03,0.28,0.28,-0.6099999999999994,0.09000000000000052,4.54,0.19,0.19,-0.8899999999999997,-0.18999999999999972,5.15,0.18,0.18,-1.0699999999999994,-0.36999999999999944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.43,0.26,0.26,-0.78,-0.08000000000000007,1.36,0.29,0.29,-0.8200000000000001,-0.1200000000000001,-0.06,0.1,0.0,0.09,0.05,0.01,0.0,0.01,0.1,-0.5800000000000001,0.11999999999999988,0.13
[MOW91]   8,For,-0.7,0.1,6.67,0.06,0.06,-0.9299999999999997,-0.22999999999999976,1.65,0.16,0.16,-1.5,-0.8,4.36,0.23,0.23,-0.5899999999999999,0.1100000000000001,5.05,0.16,0.16,-0.5899999999999999,0.1100000000000001,4.28,0.08,0.08,-1.1499999999999995,-0.4499999999999995,5.06,0.25,0.25,-1.1600000000000001,-0.4600000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.08,0.28,0.28,-1.13,-0.42999999999999994,0.83,0.37,0.37,-1.35,-0.6500000000000001,-0.12,0.1,0.03,0.09,0.01,0.02,0.0,0.01,0.1,-0.64,0.05999999999999994,0.1
2MASS J02383503-3441380,For,-0.69,0.06,6.65,0.13,0.13,-0.9499999999999993,-0.25999999999999934,1.73,0.26,0.26,-1.42,-0.73,3.71,0.23,0.23,-1.2400000000000002,-0.5500000000000003,4.83,0.28,0.28,-0.8099999999999996,-0.11999999999999966,4.07,0.14,0.14,-1.3599999999999994,-0.6699999999999995,5.13,0.28,0.28,-1.0899999999999999,-0.3999999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5,0.14,0.14,-0.6800000000000002,0.009999999999999787,0.34,0.21,0.06,0.16,0.09,0.07,0.0,0.01,0.21,-0.18,0.51,0.06
[WMO2009] For-0391,For,-0.69,0.07,6.46,0.22,0.22,-1.1399999999999997,-0.44999999999999973,1.75,0.33,0.33,-1.4,-0.71,4.26,0.12,0.12,-0.6900000000000004,-4.440892098500626e-16,nan,nan,nan,nan,nan,4.46,0.34,0.34,-0.9699999999999998,-0.2799999999999998,5.01,0.28,0.28,-1.21,-0.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.82,0.28,0.28,-1.3900000000000001,-0.7000000000000002,1.64,0.13,0.13,-0.5400000000000003,0.1499999999999997,0.03,0.09,0.02,0.09,0.02,0.0,0.0,0.01,0.09,-0.49,0.19999999999999996,0.07
2MASS J02390157-3436488,For,-0.68,0.08,6.78,0.07,0.07,-0.8199999999999994,-0.13999999999999935,1.89,0.2,0.2,-1.26,-0.58,4.03,0.2,0.2,-0.9199999999999999,-0.23999999999999988,4.7,0.28,0.28,-0.9399999999999995,-0.25999999999999945,4.17,0.15,0.15,-1.2599999999999998,-0.5799999999999997,5.08,0.18,0.18,-1.1399999999999997,-0.45999999999999963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.44,0.13,0.13,-0.7400000000000002,-0.060000000000000164,0.15,0.11,0.01,0.1,0.03,0.0,0.0,0.01,0.11,-0.37,0.31000000000000005,0.08
2MASS J02395144-3421211,For,-0.68,0.09,6.44,0.05,0.05,-1.1599999999999993,-0.4799999999999992,1.99,0.12,0.12,-1.16,-0.47999999999999987,4.44,0.24,0.24,-0.5099999999999998,0.17000000000000026,4.9,0.28,0.28,-0.7399999999999993,-0.059999999999999276,4.46,0.35,0.35,-0.9699999999999998,-0.2899999999999997,5.23,0.22,0.22,-0.9899999999999993,-0.3099999999999993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.34,0.13,0.13,-0.8400000000000001,-0.16000000000000003,-0.15,0.11,0.01,0.1,0.04,0.01,0.0,0.01,0.11,-0.67,0.010000000000000009,0.09
2MASS J02390031-3430302,For,-0.67,0.05,6.52,0.06,0.06,-1.08,-0.41000000000000003,1.84,0.25,0.25,-1.3099999999999998,-0.6399999999999998,4.21,0.16,0.16,-0.7400000000000002,-0.07000000000000017,4.86,0.35,0.35,-0.7799999999999994,-0.10999999999999932,4.61,0.1,0.1,-0.8199999999999994,-0.14999999999999936,5.27,0.39,0.39,-0.9500000000000002,-0.28000000000000014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.31,0.22,0.22,-0.8700000000000001,-0.20000000000000007,0.18,0.08,0.02,0.08,0.0,0.01,0.0,0.01,0.08,-0.34,0.33,0.05
2MASS J02391102-3428348,For,-0.67,0.1,6.62,0.1,0.1,-0.9799999999999995,-0.3099999999999995,1.6,0.17,0.17,-1.5499999999999998,-0.8799999999999998,4.16,0.23,0.23,-0.79,-0.12,4.97,0.32,0.32,-0.6699999999999999,1.1102230246251565e-16,4.48,0.17,0.17,-0.9499999999999993,-0.27999999999999925,5.19,0.43,0.43,-1.0299999999999994,-0.3599999999999993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.27,0.12,0.12,-0.9100000000000001,-0.2400000000000001,-0.09,0.13,0.01,0.11,0.06,0.02,0.0,0.01,0.13,-0.61,0.06000000000000005,0.1
